interference,6982
signal to noise ratio,5851
relays,5135
cognitive radio,4356
vectors,3712
wireless communication,3689
throughput,3621
receivers,3440
resource management,3274
wireless sensor networks,3063
mimo communication,3059
cooperative communication,3033
fading,2940
radiofrequency interference,2927
protocols,2846
cellular radio,2846
optimization,2817
quality of service,2757
mimo,2728
channel estimation,2704
wireless channels,2672
delay,2658
probability,2318
long term evolution,2249
optimisation,2221
mobile communication,2054
ofdm modulation,2023
array signal processing,2019
rayleigh channels,1851
diversity reception,1840
interference suppression,1812
ofdm,1792
radio networks,1789
error statistics,1776
resource allocation,1747
sensors,1680
wireless lan,1662
network coding,1661
vehicles,1620
scheduling,1568
femtocellular radio,1566
antennas,1560
telecommunication traffic,1559
game theory,1489
decoding,1487
radio receivers,1453
antenna arrays,1452
markov processes,1443
downlink,1434
transmitting antennas,1410
radio links,1408
radio transmitters,1404
complexity theory,1387
macrocell networks,1340
base stations,1338
transmitters,1322
amplify and forward communication,1308
routing,1302
bandwidth,1245
ad hoc networks,1236
analytical models,1230
bit error rate,1221
radio spectrum management,1207
receiving antennas,1199
joints,1132
energy consumption,1095
games,1091
power control,1076
3g mobile communication,1075
internet,1073
estimation,1069
correlation,1056
wireless networks,1051
mathematical model,1049
routing protocols,1037
encoding,1027
stochastic processes,1024
mobility management (mobile radio),1021
fading channels,1020
channel allocation,1001
approximation methods,988
frequency division multiple access,969
computational complexity,959
iterative methods,956
vehicular ad hoc networks,953
femtocells,949
telecommunication security,928
telecommunication network routing,913
modulation,887
mobile computing,881
decode and forward communication,875
telecommunication network reliability,873
noise,839
mobile radio,830
algorithm design and analysis,822
access protocols,819
load modeling,797
precoding,781
pricing,772
equations,743
batteries,728
switches,715
approximation theory,707
power demand,699
monte carlo methods,687
channel capacity,670
energy conservation,664
channel coding,647
computer architecture,629
telecommunication network topology,620
measurement,606
heuristic algorithms,601
reliability,599
data communication,594
simulation,588
convergence,587
radio access networks,581
ieee 802.11 standards,581
performance evaluation,580
cochannel interference,579
phase shift keying,576
mobile ad hoc networks,569
servers,563
monitoring,556
indexes,554
quadrature amplitude modulation,529
upper bound,527
training,525
nakagami channels,524
spread spectrum communication,523
telecommunication control,516
femtocell networks,499
iterative decoding,496
linear programming,495
hybrid electric vehicles,493
synchronization,492
network topology,492
topology,491
streaming media,484
communication complexity,481
radio frequency,478
robustness,477
feedback,469
delays,468
accuracy,467
matrix algebra,464
energy harvesting,460
multiaccess communication,458
educational institutions,457
quantization,456
ip networks,455
detectors,451
signal detection,433
roads,429
statistical analysis,427
least mean squares methods,426
integer programming,421
computational modeling,415
multimedia communication,410
multiplexing,410
railway communication,404
telecommunication channels,404
cloud computing,403
queueing theory,402
standards,390
convex programming,385
jamming,383
authentication,381
geometry,376
numerical analysis,375
radiocommunication,371
mean square error methods,371
media access protocol,367
polynomials,366
broadcast channels,361
interference (signal),361
antenna measurements,354
concave programming,349
relay networks (telecommunication),347
approximation algorithms,345
multi-access systems,339
telecommunication network planning,337
frequency domain analysis,337
optimal control,333
telecommunication congestion control,331
frequency allocation,329
multiuser channels,325
security,314
gain,314
graph theory,312
video streaming,308
cellular networks,307
wimax,304
minimization,298
time division multiple access,298
feature extraction,296
wireless mesh networks,296
parity check codes,296
maximum likelihood estimation,296
mobile handsets,296
automatic repeat request,293
learning (artificial intelligence),292
