code,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ew,,,216.0,876.0,635.0,274.0,500.0,324.0,745.0,626.0,339.0
globecom,8014.0,10323.0,7069.0,4444.0,3943.0,3972.0,3491.0,1869.0,708.0,272.0,2281.0
icc,11896.0,12550.0,,5918.0,7941.0,5578.0,4764.0,2966.0,1155.0,383.0,2799.0
iswcs,,,,,372.0,462.0,391.0,310.0,530.0,547.0,558.0
jsac,12200.0,9572.0,7608.0,9092.0,10981.0,5557.0,3707.0,1466.0,777.0,2675.0,3635.0
letters,5698.0,5606.0,3681.0,6668.0,3675.0,3095.0,2015.0,988.0,538.0,154.0,1957.0
pimrc,,2461.0,2151.0,2579.0,,2789.0,1334.0,,340.0,26.0,1207.0
tvt,2639.0,2205.0,3630.0,3763.0,2604.0,4369.0,4502.0,3820.0,3022.0,6061.0,4104.0
twc,5482.0,5107.0,7938.0,8897.0,7696.0,7766.0,7386.0,5336.0,2745.0,5705.0,5104.0
vtc_fall,5945.0,7386.0,,2392.0,1823.0,1888.0,1387.0,1008.0,1420.0,1666.0,1134.0
vtc_spring,3598.0,4389.0,3740.0,5308.0,3679.0,,2784.0,1812.0,1501.0,2867.0,1393.0
wcnc,,10153.0,5060.0,,2924.0,5266.0,2184.0,1503.0,1859.0,1650.0,2151.0
wowmom,,,,1830.0,,746.0,,280.0,294.0,699.0,481.0
