united states of america,10334
turkey,7014
china,5434
south korea,3239
canada,3202
germany,2460
united kingdom,2206
japan,2078
france,1834
italy,1792
taiwan,1699
singapore,1299
australia,1066
spain,1011
finland,876
sweden,766
hong kong,758
india,609
indonesia,586
greece,545
belgium,463
iran,386
brazil,369
denmark,347
netherlands,324
portugal,314
norway,309
austria,204
switzerland,168
saudi arabia,167
ireland,146
egypt,112
hungary,110
mexico,105
tanzania,104
poland,99
israel,98
pakistan,93
new zealand,86
thailand,78
russian federation,68
colombia,67
tunisia,67
romania,66
south africa,59
czech republic,57
qatar,56
lebanon,55
georgia,47
united arab emirates,43
malaysia,39
cameroon,38
jordan,37
cyprus,31
nigeria,28
argentina,28
macedonia,28
latvia,27
luxembourg,23
algeria,21
french guyana,21
chile,20
ecuador,19
morocco,16
ethiopia,16
guinea bissau,15
croatia,14
venezuela,14
philippines,12
slovenia,11
bangladesh,10
vietnam,9
iraq,9
macau,8
mozambique,7
bulgaria,7
mongolia,7
vanuatu,6
somalia,6
albania,6
kuwait,5
chad,5
sri lanka,5
uruguay,4
estonia,4
panama,4
bosnia-herzegovina,4
central african republic,3
botswana,3
yugoslavia,3
libya,3
mali,3
ukraine,3
peru,3
kenya,3
myanmar,3
bahamas,2
syria,2
sudan,2
oman,2
ghana,2
malta,2
fiji,2
cuba,2
haiti,2
congo,2
lithuania,1
belarus,1
uzbekistan,1
grenada,1
trinidad and tobago,1
togo,1
tadjikistan,1
iceland,1
honduras,1
senegal,1
rwanda,1
jamaica,1
papua new guinea,1
yemen,1
costa rica,1
new caledonia (french),1
