signal to noise ratio,1387
interference,1106
relays,988
cognitive radio,949
wireless sensor networks,841
throughput,831
receivers,798
protocols,782
wireless communication,683
mimo communication,677
resource management,670
peer to peer computing,644
delay,635
quality of service,619
mimo,602
channel estimation,596
decoding,592
fading,580
cooperative communication,539
ofdm modulation,529
ofdm,522
probability,512
mobile communication,499
optimization,494
error statistics,463
wireless channels,462
cellular radio,451
radio networks,439
bit error rate,434
diversity reception,433
ad hoc networks,407
network coding,402
optimisation,393
encoding,388
interference suppression,385
array signal processing,379
sensors,378
transmitting antennas,367
telecommunication traffic,366
bandwidth,356
radiofrequency interference,350
fading channels,350
complexity theory,349
routing,335
vectors,322
markov processes,316
radio receivers,311
rayleigh channels,311
antennas,309
long term evolution,306
receiving antennas,296
wireless lan,292
routing protocols,288
transmitters,287
power control,286
downlink,283
antenna arrays,271
internet,271
scheduling,270
correlation,261
telecommunication network routing,260
energy consumption,257
mathematical model,257
mobile radio,257
base stations,256
access protocols,255
resource allocation,253
mobile computing,251
channel coding,245
modulation,243
ieee communications society,242
vehicles,242
algorithm design and analysis,238
radio transmitters,228
estimation,227
radio links,219
amplify and forward communication,219
joints,218
telecommunication network reliability,218
analytical models,215
approximation methods,213
frequency division multiple access,212
radio spectrum management,205
wireless networks,202
noise,196
computational complexity,196
3g mobile communication,193
mobility management (mobile radio),191
ip networks,191
iterative methods,191
equations,190
channel capacity,187
measurement,184
precoding,183
decode and forward communication,179
telecommunication security,176
detectors,162
femtocellular radio,154
servers,154
monte carlo methods,152
game theory,149
iterative decoding,148
simulation,148
indexes,146
upper bound,145
multiaccess communication,141
automatic repeat request,141
quadrature amplitude modulation,141
heuristic algorithms,139
channel allocation,138
vehicular ad hoc networks,138
phase shift keying,138
parity check codes,137
communication complexity,137
accuracy,136
telecommunication network topology,135
topology,135
wimax,134
synchronization,132
spread spectrum communication,132
games,129
computer architecture,125
network topology,124
multimedia communication,124
data communication,124
streaming media,123
least mean squares methods,123
wireless mesh networks,122
power demand,121
multi-access systems,120
signal detection,119
switches,118
multiplexing,116
maximum likelihood estimation,115
telecommunication control,115
interference (signal),115
ieee 802.11 standards,115
radio access networks,113
eigenvalues and eigenfunctions,112
monitoring,110
reliability,107
stochastic processes,105
mobile ad hoc networks,105
media access protocol,105
multipath channels,104
energy conservation,102
cochannel interference,100
training,99
code division multiple access,98
computational modeling,96
macrocell networks,95
telecommunication congestion control,94
convergence,94
covariance matrix,93
frequency domain analysis,93
delays,88
telecommunication network management,88
mobile handsets,88
security,86
statistical analysis,86
awgn channels,85
time division multiple access,85
gain,85
global positioning system,84
multicast communication,84
robustness,83
queueing theory,83
matrix algebra,82
ultra wideband communication,80
cryptography,79
nakagami channels,78
performance evaluation,78
