code,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ew,,,89.0,257.0,205.0,103.0,184.0,120.0,230.0,113.0,107.0
globecom,593.0,810.0,862.0,776.0,995.0,992.0,989.0,995.0,994.0,959.0,946.0
icc,655.0,699.0,,685.0,889.0,994.0,990.0,985.0,990.0,989.0,940.0
iswcs,,,,,169.0,170.0,149.0,143.0,216.0,175.0,220.0
jsac,157.0,150.0,171.0,210.0,245.0,182.0,174.0,151.0,140.0,180.0,212.0
letters,181.0,195.0,234.0,359.0,291.0,336.0,308.0,326.0,384.0,453.0,701.0
pimrc,,616.0,600.0,543.0,,888.0,592.0,,591.0,475.0,441.0
tvt,168.0,162.0,181.0,199.0,186.0,372.0,380.0,512.0,452.0,443.0,399.0
twc,82.0,129.0,259.0,323.0,431.0,524.0,632.0,714.0,415.0,464.0,450.0
vtc_fall,515.0,717.0,,572.0,616.0,448.0,451.0,427.0,533.0,494.0,508.0
vtc_spring,434.0,589.0,620.0,660.0,612.0,,619.0,637.0,578.0,675.0,491.0
wcnc,,372.0,451.0,,397.0,805.0,573.0,539.0,533.0,375.0,607.0
wowmom,,,,93.0,,122.0,,100.0,110.0,137.0,120.0
