antenna measurements,8
diversity methods,8
diversity reception,8
fading,8
hardware,8
isolation technology,8
patch antennas,8
polarization,8
rayleigh channels,8
receiving antennas,8
array signal processing,0
degradation,0
digital signal processors,0
fixed-point arithmetic,0
quantization,0
receivers,0
satellite broadcasting,0
sensor arrays,0
signal analysis,0
signal to noise ratio,0
binary phase shift keying,0
bit error rate,0
mimo,0
ofdm modulation,0
quadrature phase shift keying,0
quality of service,0
receiving antennas,0
rician channels,0
throughput,0
transmitting antennas,0
antenna measurements,0
covariance matrix,0
direction of arrival estimation,0
electromagnetic scattering,0
frequency estimation,0
interpolation,0
linear antenna arrays,0
maximum likelihood estimation,0
mutual coupling,0
voltage,0
3g mobile communication,0
artificial satellites,0
downlink,0
interference,0
low earth orbit satellites,0
multiaccess communication,0
phased arrays,0
power control,0
power system modeling,0
satellite broadcasting,0
antenna arrays,1
array signal processing,1
cities and towns,1
direction of arrival estimation,1
directive antennas,1
loaded antennas,1
multiple signal classification,1
mutual coupling,1
signal processing algorithms,1
signal resolution,1
adaptive arrays,2
antenna arrays,2
covariance matrix,2
direction of arrival estimation,2
mobile antennas,2
mobile communication,2
multiple signal classification,2
sensor arrays,2
signal resolution,2
wireless communication,2
adders,0
baseband,0
diversity reception,0
fading,0
mobile communication,0
performance evaluation,0
predictive models,0
propagation delay,0
space technology,0
transmitting antennas,0
amplitude modulation,4
baseband,4
circuits,4
computer architecture,4
distributed control,4
local oscillators,4
rf signals,4
radio frequency,4
transceivers,4
wideband,4
bandwidth,6
finite difference methods,6
frequency,6
physical theory of diffraction,6
ray tracing,6
scattering,6
silicon carbide,6
time domain analysis,6
wideband,6
wireless lan,6
base stations,0
call admission control,0
communication system traffic control,0
downlink,0
guidelines,0
multiaccess communication,0
protocols,0
system performance,0
traffic control,0
wireless networks,0
3g mobile communication,0
bit error rate,0
delay,0
intelligent networks,0
interference,0
multiaccess communication,0
quality of service,0
radio spectrum management,0
resource management,0
throughput,0
antenna measurements,0
antenna radiation patterns,0
antennas and propagation,0
circuit simulation,0
connectors,0
dipole antennas,0
displays,0
polarization,0
universal serial bus,0
wireless lan,0
bicmos integrated circuits,0
capacitance,0
current density,0
differential amplifiers,0
driver circuits,0
germanium silicon alloys,0
silicon germanium,0
topology,0
voltage,0
wireless lan,0
antenna feeds,0
automotive applications,0
automotive engineering,0
fabrication,0
frequency,0
impedance,0
loaded antennas,0
resonance,0
slot antennas,0
strips,0
circuits,0
delay estimation,0
detectors,0
direction of arrival estimation,0
equations,0
frequency measurement,0
multiple signal classification,0
smoothing methods,0
spatial resolution,0
transfer functions,0
array signal processing,7
channel state information,7
downlink,7
filtering,7
mimo,7
matrix decomposition,7
receiving antennas,7
system performance,7
transmitters,7
wiener filter,7
antenna measurements,4
coplanar waveguides,4
dipole antennas,4
electromagnetic waveguides,4
frequency,4
photonic crystals,4
planar arrays,4
silicon,4
slot antennas,4
slotline,4
awgn channels,4
baseband,4
bit error rate,4
high power amplifiers,4
modulation,4
power amplifiers,4
power system modeling,4
quadrature phase shift keying,4
solid state circuits,4
transmitters,4
adaptive arrays,2
dipole antennas,2
directive antennas,2
equalizers,2
impedance,2
performance gain,2
pulse shaping methods,2
shape,2
transmitting antennas,2
ultra wideband antennas,2
data communication,0
differential phase shift keying,0
differential quadrature phase shift keying,0
error analysis,0
fading,0
frequency,0
predictive models,0
probability density function,0
rayleigh channels,0
signal to noise ratio,0
attenuation,2
attenuators,2
circuits,2
control systems,2
design engineering,2
frequency,2
linear systems,2
modems,2
p-i-n diodes,2
voltage control,2
cmos technology,2
capacitors,2
gallium nitride,2
inductors,2
libraries,2
micromechanical devices,2
microwave devices,2
